sigungu_code,name_ko,foreign_visitor_count,foreign_visitor_share,ref_period,source,share_definition
1,강서구,444880.16,0.172611,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
2,금정구,31206.43,0.012108,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
3,기장군,157611.26,0.061152,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
4,남구,149994.12,0.058197,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
5,동구,191499.16,0.074301,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
6,동래구,21514.86,0.008348,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
7,부산진구,229729.41,0.089134,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
8,북구,18515.59,0.007184,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
9,사상구,52057.0,0.020198,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
10,사하구,136707.35,0.053042,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
11,서구,166924.99,0.064766,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
12,수영구,137952.78,0.053525,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
13,연제구,32406.9,0.012574,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
14,영도구,170077.64,0.065989,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
15,중구,231522.31,0.089829,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
16,해운대구,404755.35,0.157043,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
