sigungu_code,name_ko,name_en,center_lat,center_lng,foreign_visitor_share,ref_period,source,kma_nx,kma_ny,foreign_visitor_count,foreign_visitor_share_definition
1,강서구,Gangseo-gu,35.2122,128.9806,0.172611,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,96,76,444880.16,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
2,금정구,Geumjeong-gu,35.243,129.0921,0.012108,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,98,77,31206.43,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
3,기장군,Gijang-gun,35.2446,129.2223,0.061152,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,100,77,157611.26,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
4,남구,Nam-gu,35.1366,129.0844,0.058197,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,98,75,149994.12,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
5,동구,Dong-gu,35.1293,129.0455,0.074301,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,97,75,191499.16,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
6,동래구,Dongnae-gu,35.205,129.0837,0.008348,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,98,76,21514.86,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
7,부산진구,Busanjin-gu,35.1629,129.0532,0.089134,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,97,75,229729.41,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
8,북구,Buk-gu,35.197,128.99,0.007184,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,96,76,18515.59,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
9,사상구,Sasang-gu,35.1526,128.991,0.020198,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,96,75,52057.0,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
10,사하구,Saha-gu,35.1046,128.9748,0.053042,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,96,74,136707.35,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
11,서구,Seo-gu,35.0979,129.0244,0.064766,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,97,74,166924.99,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
12,수영구,Suyeong-gu,35.1456,129.1131,0.053525,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,99,75,137952.78,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
13,연제구,Yeonje-gu,35.1762,129.0797,0.012574,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,98,76,32406.9,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
14,영도구,Yeongdo-gu,35.0912,129.0679,0.065989,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,98,74,170077.64,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
15,중구,Jung-gu,35.1062,129.0324,0.089829,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,97,74,231522.31,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
16,해운대구,Haeundae-gu,35.1631,129.1635,0.157043,20250601-20250630,한국관광공사_빅데이터_지역별 방문자수_GW locgoRegnVisitrDDList,99,75,404755.35,부산 16개 구·군 외국인 방문자 수 합계 중 해당 구 비중
