code_type,code,name,rnum
area_code,1,서울,1
area_code,2,인천,2
area_code,3,대전,3
area_code,4,대구,4
area_code,5,광주,5
area_code,6,부산,6
area_code,7,울산,7
area_code,8,세종특별자치시,8
area_code,31,경기도,9
area_code,32,강원특별자치도,10
area_code,33,충청북도,11
area_code,34,충청남도,12
area_code,35,경상북도,13
area_code,36,경상남도,14
area_code,37,전북특별자치도,15
area_code,38,전라남도,16
area_code,39,제주특별자치도,17
category_code,A01,자연,1
category_code,A02,인문(문화/예술/역사),2
category_code,A03,레포츠,3
category_code,A04,쇼핑,4
category_code,A05,음식,5
category_code,B02,숙박,6
category_code,C01,추천코스,7
large_class_system,AC,숙박,1
large_class_system,C01,추천코스,2
large_class_system,EV,축제/공연/행사,3
large_class_system,EX,체험관광,4
large_class_system,FD,음식,5
large_class_system,HS,역사관광,6
large_class_system,LS,레저스포츠,7
large_class_system,NA,자연관광,8
large_class_system,SH,쇼핑,9
large_class_system,VE,문화관광,10
legal_dong_code,11,서울특별시,1
legal_dong_code,12,전남광주통합특별시,2
legal_dong_code,26,부산광역시,3
legal_dong_code,27,대구광역시,4
legal_dong_code,28,인천광역시,5
legal_dong_code,30,대전광역시,6
legal_dong_code,31,울산광역시,7
legal_dong_code,41,경기도,8
legal_dong_code,43,충청북도,9
legal_dong_code,44,충청남도,10
legal_dong_code,47,경상북도,11
legal_dong_code,48,경상남도,12
legal_dong_code,50,제주특별자치도,13
legal_dong_code,51,강원특별자치도,14
legal_dong_code,52,전북특별자치도,15
legal_dong_code,36110,세종특별자치시,16
