title,status,matched_title,score,after_start_date,after_end_date,source_file
2024 용두산 썸머 비치,no_match,,0.286,,,
2026 원아시아페스티벌(BOF),no_match,,0.5,,,
"감천문화마을골목축제(한,영,중간,중번,일)",filled,감천문화마을 골목축제,1.0,20251024,20251025,부산광역시_사하구_문화축제_20260305.csv
"광복로 겨울빛 트리축제(한,영,중간,중번,일)",filled,광복로겨울빛트리축제,1.0,20261205,20270214,부산광역시_중구_문화축제_20260430.csv
"광안리어방축제(한,영,중간,중번,일)",filled,제24회광안리어방축제,1.0,20260612,20260614,부산광역시_수영구_문화축제_20260512.csv
"금정산성축제(한,영,중간,중번,일)",filled,2025 금정산성축제,1.0,20250613,20250615,부산광역시_금정구_문화축제_20260311.csv
"기장멸치축제(한, 영, 중간, 중번, 일)",filled,기장멸치축제,1.0,20250425,20250427,부산광역시_기장군_문화축제_20260315.csv
"기장미역다시마축제(한, 영, 중간, 중번, 일)",filled,기장미역다시마축제,1.0,20250418,20250420,부산광역시_기장군_문화축제_20260315.csv
김해공항 Welcome to Busan 환대 행사,no_match,,0.176,,,
"나이트레이스 인 부산(한, 영, 중간, 중번, 일)",no_match,,0.25,,,
"낙동강 정원 벚꽃축제(한,영,중간,중번,일)",filled,2026 낙동강정원 벚꽃축제,1.0,20260403,20260412,부산광역시_사상구_문화축제_20260306.csv
"낙동강구포나루축제(한,영,중간,중번,일)",filled,제13회 낙동강 구포나루 축제,1.0,20261016,20261018,부산광역시_북구_문화축제_20260508.csv
"대저토마토축제(한, 영, 중간, 중번, 일)",no_match,,0.429,,,
"동래읍성 역사축제(한, 영, 중간, 중번, 일)",filled,동래읍성역사축제,1.0,20261016,20261018,부산광역시_동래구_문화축제_20260521.csv
"별바다부산 나이트페스타(한)//영,중간,중번,일",no_match,,0.2,,,
"부산국제록페스티벌(한,영, 중간,중번,일)",no_match,,0.471,,,
부산국제마케팅광고제(한),no_match,,0.5,,,
부산국제어린이청소년영화제,no_match,,0.609,,,
"부산국제영화제(한, 영, 중간, 중번, 일)",filled,부산국제영화제 전야제,1.0,20250916,20250916,부산광역시_중구_문화축제_20260430.csv
"부산바다미술제(한,영,중간,중번,일)",no_match,,0.429,,,
"부산바다축제(한,영, 중간,중번,일)",no_match,,0.615,,,
"부산불꽃축제(한, 영, 중간, 중번, 일)",no_match,,0.615,,,
"부산수제맥주마스터스챌린지(한,영,중간,중번,일)",no_match,,0.3,,,
"부산연등회(한,영,중간,중번,일)",no_match,,0.5,,,
"부산자갈치축제(한,영,중간,중번,일)",filled,부산자갈치축제,1.0,20251023,20251026,부산광역시_중구_문화축제_20260430.csv
부산콘서트홀 개관 페스티벌,no_match,,0.4,,,
"부산푸드필름페스타(한, 영)",no_match,,0.25,,,
"부산항축제(한,영,중간,중번,일)",filled,부산고등어축제,0.667,20261030,20261101,부산광역시_서구_문화축제_20260519.csv
"사상강변축제(한,영,중간,중번,일)",no_match,,0.429,,,
"삼광사 연등축제(한,영,중간,중번,일)",no_match,,0.429,,,
"서면 빛 축제(한,영,중간,중번,일)",filled,서면 빛축제,1.0,20251013,20260228,부산광역시_부산진구_문화축제_20250909.csv
"센텀맥주축제(한,영,중간,중번,일)",no_match,,0.462,,,
"수국축제(한,영,중간,중번,일)",no_match,,0.444,,,
"조선통신사축제(한,영,중간,중번,일)",no_match,,0.4,,,
"차이나타운특구 문화축제(한,영,중간,중번,일)",no_match,,0.381,,,
택슐랭,no_match,,0,,,
"해운대 빛축제(한,영,중간,중번,일)",filled,2026 제21회 해운대 모래축제,0.769,20260508,20260511,부산광역시_해운대구_문화축제_20260320.csv
"해운대달맞이온천축제(한,영,중간,중번,일)",filled,제41회 해운대 달맞이온천축제,1.0,20260301,20260303,부산광역시_해운대구_문화축제_20260320.csv
"해운대모래축제(한,영,중간,중번,일)",filled,2026 제21회 해운대 모래축제,1.0,20260508,20260511,부산광역시_해운대구_문화축제_20260320.csv
"해운대북극곰축제(한,영,중간,중번,일)",filled,2026 제21회 해운대 모래축제,0.667,20260508,20260511,부산광역시_해운대구_문화축제_20260320.csv
해운대 빛축제,already_has_date,,,20251129,20260118,
광복로 겨울빛 트리축제,already_has_date,,,20251205,20260222,
온천천 빛 축제,already_has_date,,,20251219,20260201,
카운트다운 부산,already_has_date,,,20251231,20260101,
