source_id,title,start_date,end_date,reason,source_note
2786391,광안리 M(Marvelous) 드론 라이트쇼,20260101,20261231,유실 데이터 복구,기존 festivals_fix.csv의 KTO 행사 데이터
330,"금정산성축제(한,영,중간,중번,일)",20261016,20261018,최신 회차 날짜 보정,부산시 FestivalService/getFestivalKr 원본 대조 코멘트 기준
395,"부산불꽃축제(한, 영, 중간, 중번, 일)",20261107,20261107,대표 축제 수동 복구,부산불꽃축제 공식 행사개요
71,"부산바다축제(한,영, 중간,중번,일)",20260807,20260813,다대포 개최지 기준 주소·좌표·sigungu_code 정합성 보정,수동 보정: 사하구 다대포해수욕장
470,"부산국제록페스티벌(한,영, 중간,중번,일)",20261002,20261004,대표 축제 수동 복구,부산국제록페스티벌 공식 공지
449,"광복로 겨울빛 트리축제(한,영,중간,중번,일)",20261205,20270214,description/usage_time 날짜와 start/end_date 불일치 보정,최종 유지한 2026~2027 회차 기준
441,"기장미역다시마축제(한, 영, 중간, 중번, 일)",20260417,20260419,description 내 최신 일정과 start/end_date 불일치 보정,행 내부 description의 2026.04.17.~04.19. 문구 기준
2136,"서면 빛 축제(한,영,중간,중번,일)",20251013,20260228,usage_time이 과거 회차를 가리켜 start/end_date와 맞춤,현재 festivals.csv start/end_date 기준
443,"기장멸치축제(한, 영, 중간, 중번, 일)",20260424,20260426,usage_time에 남아 있던 2026 회차 날짜 반영,festivals_fix.csv usage_time
405,"해운대모래축제(한,영,중간,중번,일)",20260508,20260511,usage_time의 2025 회차 문구를 start/end_date와 일치하도록 보정,festivals.csv start_date/end_date
3576410,광복로 겨울빛 트리축제,20251205,20260222,TourAPI 동기화 contentId를 유지하기 위해 KTO 행을 정본으로 복구,festivals_fix.csv kto_festival/3576410
2048902,해운대 빛축제,20251129,20260118,재생성 과정에서 비워진 place 복구,festivals_fix.csv place
3434800,온천천 빛 축제,20251219,20260201,재생성 과정에서 비워진 place 복구,festivals_fix.csv place
2702333,카운트다운 부산,20251231,20260101,재생성 과정에서 비워진 place 복구,festivals_fix.csv place
499,"낙동강 정원 벚꽃축제(한,영,중간,중번,일)",20260403,20260412,주소·좌표 기준 sigungu_code 10에서 9로 보정,사상구 낙동제방 벚꽃길·르네시떼 기준
