signguCode,signguNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
11110,종로구,7,일요일,1,현지인(a),114912.0,20250601
11110,종로구,7,일요일,2,외지인(b),387618.0,20250601
11110,종로구,7,일요일,3,외국인(c),33697.94999999998,20250601
11140,중구,7,일요일,1,현지인(a),87661.0,20250601
11140,중구,7,일요일,2,외지인(b),349545.0,20250601
11140,중구,7,일요일,3,외국인(c),67414.45999999998,20250601
11170,용산구,7,일요일,1,현지인(a),138649.0,20250601
11170,용산구,7,일요일,2,외지인(b),361231.5,20250601
11170,용산구,7,일요일,3,외국인(c),29857.469999999998,20250601
11200,성동구,7,일요일,1,현지인(a),152099.5,20250601
11200,성동구,7,일요일,2,외지인(b),197228.5,20250601
11200,성동구,7,일요일,3,외국인(c),13495.859999999995,20250601
11215,광진구,7,일요일,1,현지인(a),205107.0,20250601
11215,광진구,7,일요일,2,외지인(b),221858.0,20250601
11215,광진구,7,일요일,3,외국인(c),3898.580000000001,20250601
11230,동대문구,7,일요일,1,현지인(a),174422.5,20250601
11230,동대문구,7,일요일,2,외지인(b),152071.5,20250601
11230,동대문구,7,일요일,3,외국인(c),3969.8799999999997,20250601
11260,중랑구,7,일요일,1,현지인(a),178367.0,20250601
11260,중랑구,7,일요일,2,외지인(b),110610.5,20250601
11260,중랑구,7,일요일,3,외국인(c),952.98,20250601
11290,성북구,7,일요일,1,현지인(a),237233.5,20250601
11290,성북구,7,일요일,2,외지인(b),148946.0,20250601
11290,성북구,7,일요일,3,외국인(c),2730.41,20250601
11305,강북구,7,일요일,1,현지인(a),138208.0,20250601
11305,강북구,7,일요일,2,외지인(b),100499.0,20250601
11305,강북구,7,일요일,3,외국인(c),1323.86,20250601
11320,도봉구,7,일요일,1,현지인(a),136094.0,20250601
11320,도봉구,7,일요일,2,외지인(b),101353.0,20250601
11320,도봉구,7,일요일,3,외국인(c),689.14,20250601
11350,노원구,7,일요일,1,현지인(a),293951.0,20250601
11350,노원구,7,일요일,2,외지인(b),163394.0,20250601
11350,노원구,7,일요일,3,외국인(c),1185.1599999999999,20250601
11380,은평구,7,일요일,1,현지인(a),174748.0,20250601
11380,은평구,7,일요일,2,외지인(b),102466.0,20250601
11380,은평구,7,일요일,3,외국인(c),1804.7699999999995,20250601
11410,서대문구,7,일요일,1,현지인(a),151588.5,20250601
11410,서대문구,7,일요일,2,외지인(b),217511.0,20250601
11410,서대문구,7,일요일,3,외국인(c),9234.160000000002,20250601
11440,마포구,7,일요일,1,현지인(a),223128.5,20250601
11440,마포구,7,일요일,2,외지인(b),348883.5,20250601
11440,마포구,7,일요일,3,외국인(c),32428.44,20250601
11470,양천구,7,일요일,1,현지인(a),170870.0,20250601
11470,양천구,7,일요일,2,외지인(b),108412.5,20250601
11470,양천구,7,일요일,3,외국인(c),1357.2700000000002,20250601
11500,강서구,7,일요일,1,현지인(a),263399.5,20250601
11500,강서구,7,일요일,2,외지인(b),246018.5,20250601
11500,강서구,7,일요일,3,외국인(c),12474.640000000001,20250601
11530,구로구,7,일요일,1,현지인(a),182511.0,20250601
11530,구로구,7,일요일,2,외지인(b),194127.5,20250601
11530,구로구,7,일요일,3,외국인(c),3731.500000000001,20250601
