table_name,row_no,source,source_id,title,missing_columns
places,4,kto_area_based,2862337,몽작,image_url
places,6,kto_area_based,3017347,해돋이전망대,image_url
places,12,kto_area_based,2742601,명지시장,image_url
places,13,kto_area_based,2775543,탐복,image_url
places,15,kto_area_based,850217,다원,image_url
places,16,kto_area_based,250562,카파도키아,image_url
places,19,kto_area_based,133525,18번완당집,image_url
places,24,kto_area_based,252561,절영해안산책로,image_url
places,25,kto_area_based,135004,산성청송가든,image_url
places,101,kto_keyword_search,2778487,금수복국 해운대본점,image_url
places,103,kto_keyword_search,2613988,팝콘 호스텔 해운대점,image_url
places,113,kto_keyword_search,1889286,해운대를 지나 문탠로드를 걷다,address
festivals,6,busan_festival,71,"부산바다축제(한,영, 중간,중번,일)",address
festivals,42,busan_festival,2368,2026 원아시아페스티벌(BOF),address
festivals,43,busan_festival,2373,택슐랭,address
